"caja";"codigo_colecta";"codigo_foto";"Presencia_Etiqueta";"Imprimir_etiquetas";"Familia";"Nombre_cientifico";"Localidad";"Municipio";"Estado";"Pais";"Latitud";"Longitud";"Altitud";"Tipo_vegetacion";"Colectores";"Fecha_colecta";"Comentarios"
7;"COFRA 3";NA;"NO";3;"FAGACEAE";NA;"Cofradía";"Santa María Chimalapa";"Oaxaca";"México";16.765012;-94.772517;377;NA;"Sergio Marrugo Rondon, Juan Felipe Charre Medellin, Jesus Llanderal Mendoza, Hernando Rodrígues Correa";2022-02-22;NA
7;"COFRA 3";NA;"NO";3;"FAGACEAE";NA;"Cofradía";"Santa María Chimalapa";"Oaxaca";"México";16.765012;-94.772517;377;NA;"Sergio Marrugo Rondon, Juan Felipe Charre Medellin, Jesus Llanderal Mendoza, Hernando Rodrígues Correa";2022-02-22;NA
7;"COFRA 3";NA;"NO";3;"FAGACEAE";NA;"Cofradía";"Santa María Chimalapa";"Oaxaca";"México";16.765012;-94.772517;377;NA;"Sergio Marrugo Rondon, Juan Felipe Charre Medellin, Jesus Llanderal Mendoza, Hernando Rodrígues Correa";2022-02-22;NA
7;"COFRA 2";NA;"NO";3;"FAGACEAE";NA;"Cofradía";"Santa María Chimalapa";"Oaxaca";"México";16.761219;-94.76172;372;NA;"Sergio Marrugo Rondon, Juan Felipe Charre Medellin, Jesus Llanderal Mendoza, Hernando Rodrígues Correa";2022-02-22;NA
7;"COFRA 2";NA;"NO";3;"FAGACEAE";NA;"Cofradía";"Santa María Chimalapa";"Oaxaca";"México";16.761219;-94.76172;372;NA;"Sergio Marrugo Rondon, Juan Felipe Charre Medellin, Jesus Llanderal Mendoza, Hernando Rodrígues Correa";2022-02-22;NA
7;"COFRA 2";NA;"NO";3;"FAGACEAE";NA;"Cofradía";"Santa María Chimalapa";"Oaxaca";"México";16.761219;-94.76172;372;NA;"Sergio Marrugo Rondon, Juan Felipe Charre Medellin, Jesus Llanderal Mendoza, Hernando Rodrígues Correa";2022-02-22;NA
7;"COFRA 1";NA;"NO";3;"FAGACEAE";NA;"Cofradía";"Santa María Chimalapa";"Oaxaca";"México";16.761219;-94.76172;372;NA;"Sergio Marrugo Rondon, Juan Felipe Charre Medellin, Jesus Llanderal Mendoza, Hernando Rodrígues Correa";2022-02-22;NA
7;"COFRA 1";NA;"NO";3;"FAGACEAE";NA;"Cofradía";"Santa María Chimalapa";"Oaxaca";"México";16.761219;-94.76172;372;NA;"Sergio Marrugo Rondon, Juan Felipe Charre Medellin, Jesus Llanderal Mendoza, Hernando Rodrígues Correa";2022-02-22;NA
7;"COFRA 1";NA;"NO";3;"FAGACEAE";NA;"Cofradía";"Santa María Chimalapa";"Oaxaca";"México";16.761219;-94.76172;372;NA;"Sergio Marrugo Rondon, Juan Felipe Charre Medellin, Jesus Llanderal Mendoza, Hernando Rodrígues Correa";2022-02-22;NA
7;"COCH 3";NA;"NO";3;"FAGACEAE";"Quercus skinneri";"Cofradía";"Santa María Chimalapa";"Oaxaca";"México";16.770931;-94.741184;676;NA;"Sergio Marrugo Rondon, Juan Felipe Charre Medellin, Jesus Llanderal Mendoza, Hernando Rodrígues Correa";2022-02-22;NA
