Longitude,Latitude,Name
-101.226133,19.667544,"001"
-101.481477,19.670122,"002"
-101.481611,19.670165,"003"
-101.481594,19.670401,"004"
-101.481557,19.670528,"005"
-101.481204,19.670707,"006"
-101.481107,19.670703,"007"
-101.480976,19.670692,"008"
-101.480888,19.670691,"009"
-101.480763,19.670699,"010"
-101.480502,19.670671,"011"
-101.480122,19.670692,"012"
-101.479974,19.670629,"013"
-101.479742,19.670559,"014"
-101.479512,19.670479,"015"
-101.479157,19.670520,"016"
-101.478904,19.670313,"017"
-101.478770,19.670173,"018"
-101.478408,19.670168,"019"
-101.478129,19.670137,"020"
-101.478001,19.670162,"021"
-101.478889,19.670333,"022"
-101.479530,19.670452,"023"
-101.479605,19.670425,"024"
-101.479608,19.670429,"025"
-101.479612,19.670411,"026"
-101.479757,19.670326,"027"
-101.480035,19.670230,"028"
-101.480300,19.670075,"029"
-94.219221,16.648696,"02SAN"
-101.480730,19.669872,"030"
-101.481097,19.669720,"031"
-101.481380,19.669416,"032"
-101.481652,19.669482,"033"
-101.482233,19.669631,"034"
-105.060514,20.384312,"035"
-96.581244,16.023177,"036"
-96.555008,16.024334,"037"
-96.541107,15.965533,"038"
-95.204704,16.584783,"039"
-95.286667,16.800081,"040"
-95.293818,16.811621,"041"
-94.745938,16.715618,"043"
-94.845157,16.764107,"044"
-94.820698,16.791559,"045"
-94.797642,16.818252,"046"
-94.739218,16.857439,"047"
-94.738261,16.857773,"048"
-94.231963,16.660202,"049"
-92.276791,15.329662,"050"
-92.273658,15.331056,"051"
-92.426217,15.306159,"052"
-92.426312,15.296451,"053"
-92.749685,15.741125,"054"
-92.750646,15.741077,"055"
-92.750994,15.741154,"056"
-92.750417,15.741314,"057"
-92.753288,15.733403,"058"
-92.630730,15.658997,"060"
-92.630730,15.658997,"061"
-92.643373,15.633598,"062"
-93.590567,16.151710,"063"
-93.592136,16.149090,"064"
-93.160844,17.096868,"065"
-93.094059,17.193341,"066"
-93.064148,17.198996,"067"
-104.558171,19.818273,"068"
-105.840500,23.591982,"069"
-94.206219,16.649530,"06SAN"
-105.616307,23.733135,"070"
-107.501296,27.374979,"071"
-96.949609,18.717167,"072"
-96.950075,18.717385,"073"
-104.993160,20.366940,"074"
-104.529627,19.832718,"076"
-104.529666,19.832774,"077"
-104.532664,19.829151,"079"
-96.155002,17.470337,"080"
-94.192386,16.657981,"081"
-89.272431,16.514624,"082"
-89.268913,16.500101,"083"
-94.231404,16.660389,"084"
-100.413191,21.305238,"085"
-100.412898,21.306369,"086"
-100.412369,21.306488,"087"
-100.280864,21.313901,"088"
-100.281052,21.313863,"089"
-100.281085,21.313737,"090"
-100.281166,21.313843,"091"
-100.185231,21.310510,"092"
-100.171487,21.310491,"093"
-100.149317,21.316795,"094"
-99.866809,21.300612,"095"
-99.866994,21.300908,"096"
-99.867175,21.301226,"097"
-99.838549,21.285810,"098"
-99.832926,21.315855,"099"
-99.809170,21.351608,"100"
-99.808774,21.349070,"101"
-99.809316,21.348980,"102"
-99.808991,21.352516,"103"
-99.809014,21.354360,"104"
-99.808983,21.354895,"105"
-99.810826,21.358912,"106"
-99.851005,21.429981,"107"
-100.127783,21.253635,"108"
-100.122995,21.253916,"109"
-100.122988,21.254169,"110"
-100.121665,21.253196,"111"
-100.121667,21.253199,"112"
-100.112914,21.473246,"113"
-100.113697,21.474047,"114"
-100.113726,21.474085,"115"
-100.113695,21.474198,"116"
-100.113487,21.474533,"117"
-100.113633,21.474400,"118"
-100.113653,21.474551,"119"
-100.113573,21.471680,"120"
-100.112740,21.473546,"121"
-100.115197,21.466220,"122"
-100.430782,21.622803,"123"
-100.430684,21.622825,"124"
-100.430702,21.622862,"125"
-100.431067,21.621755,"126"
-100.430975,21.621743,"127"
-100.431033,21.621645,"128"
-100.430590,21.626460,"129"
-100.390194,21.537254,"130"
-100.388635,21.539220,"131"
-100.389057,21.538770,"132"
-100.160622,21.558275,"133"
-100.159865,21.560155,"134"
-100.161515,21.559166,"135"
-100.160993,21.559156,"136"
-100.161003,21.559170,"137"
-100.161061,21.559495,"138"
-100.161054,21.559518,"139"
-100.161050,21.559490,"140"
-100.161063,21.559529,"141"
-100.161054,21.559538,"142"
-100.088883,21.481882,"143"
-100.088897,21.481914,"144"
-100.088889,21.481929,"145"
-100.088932,21.481834,"146"
-100.089031,21.481841,"147"
-100.088777,21.482011,"148"
-100.088830,21.482160,"149"
-100.203995,21.409910,"150"
-100.204728,21.411185,"151"
-100.204742,21.411162,"152"
-100.202243,21.408748,"153"
-100.436559,21.364424,"154"
-100.437292,21.365619,"155"
-100.438184,21.366042,"156"
-100.433942,21.368417,"157"
-100.433981,21.368459,"158"
-100.433986,21.368456,"159"
-89.270915,16.495847,"160"
-89.399024,14.581880,"161"
-99.809186,21.438839,"162"
